ID,Target_Keyword,SEO_Product_Title,SEO_Tags,Hook_Headline,Selling_Points,Options
11,원룸 세탁기,원룸 세탁기 소형 탈수 겸용 수동 자동 미니 통돌이 세탁기,"원룸세탁기, 소형통돌이, 미니세탁기, 자취가전, 가성비세탁기, 소용량통돌이, 1인세탁기, 좁은공간세탁기, 탈수세탁기",빨래방 가기 귀찮을 때! 원룸 구석에 쏙 들어가는 가성비 1등 미니 통돌이!,강력 와류 회전판으로 때 때가 쏙 빠지는 입체 세탁 | 세탁과 탈수를 한 번에 해결하는 이중 드럼 구조 | 수도 연결 키트 포함으로 자가 설치 10분 완성,퓨어 화이트 / 4.5kg / 스카이 실버 / 4.5kg
12,미니 의류건조기,미니 의류건조기 소형 3kg 원룸 자취 PTC 히터 뽀송 건조기,"미니의류건조기, 소형건조기, 원룸건조기, 3kg건조기, 자취생건조기, PTC건조기, 장마철건조기, 뽀송건조기, 수건건조기, 공간절약가전",비 오고 눅눅한 날도 수건이 호텔처럼 뽀송! 원룸 전용 3kg 미니 건조기!,PTC 스마트 저온 건조로 옷감 손상과 쪼그라듦 방지 | 배관 설치 필요 없이 콘센트만 꽂으면 바로 사용 가능 | 삼중 흡기 필터로 옷에 묻은 먼지와 보풀까지 싹 제거,파스텔 화이트 / 3kg / 어반 포레스트 / 3kg
13,접이식 식탁,접이식 식탁 원룸 다용도 이동식 서랍형 폴딩 테이블 2인용,"접이식식탁, 원룸식탁, 폴딩테이블, 이동식식탁, 2인용식탁, 소형식탁, 공간활용가구, 자취생식탁, 접이식테이블, 서랍형식탁",안 쓸 땐 15cm로 접어서 구석에! 쓸 땐 2인용 근사한 식탁으로 변신!,완전 접이식 폴딩 구조로 사용하지 않을 때 공간 점유 제로 | 하단 이동 바퀴 적용으로 여자 혼자서도 스르륵 이동 | 방수/방오 LPM 코팅 상판으로 음식물 오염에 강함,내추럴 우드 / 접이식 / 화이트 우드 / 접이식
14,원룸 테이블 접이식,원룸 테이블 접이식 좌식 밥상 미니 소형 원목 1인용 라운드,"원룸테이블, 접이식테이블, 좌식밥상, 미니테이블, 1인용테이블, 자취생밥상, 원목접이식테이블, 공간절약테이블, 감성원룸가구","침대 위, 소파 앞 어디서나! 감성 홈카페와 혼밥을 책임지는 원목 접이식 테이블!",원터치 접이식 다리로 1초 만에 접고 펴는 극강의 편의성 | 라운드 모서리 마감으로 부딪혀도 아프지 않은 안전 설계 | 자작나무 원목 감성 상판으로 원룸 인테리어 격상,내추럴 오크 / 800mm / 크림 아이보리 / 800mm
15,슬림 제습기,슬림 제습기 원룸 미니 펠티어 저소음 원룸 눅눅함 제거 펠티에,"슬림제습기, 원룸제습기, 미니제습기, 저소음제습기, 펠티어제습기, 자취생제습기, 드레스룸제습기, 곰팡이방지, 초절전제습기, 슬림가전",원룸 곰팡이와 눅눅한 공기 안녕! 한 달 전기세 1천 원 대 초슬림 제습기!,반도체 펠티어 기술 적용으로 컴프레서 소음 및 진동 제로 | 두께 14cm 초슬림 디자인으로 좁은 원룸 틈새 어디든 쏙 | 만수 시 자동 정지 기능 및 7색 아로마 무드등 기능 탑재,화이트 무드등 / 1L / 그레이 스페셜 / 1L
16,미니 공기청정기,미니 공기청정기 원룸 탁상용 H13 헤파필터 초미세먼지 원룸,"미니공기청정기, 원룸공기청정기, 탁상용공기청정기, H13헤파필터, 초미세먼지청정기, 자취생공기청정기, 저소음청정기, 음이온청정기, 소형공기청정기","창문 열기 무서운 미세먼지 날, 내 방 안 공기만큼은 청정 구역으로!",H13 등급 참숯 복합 HEPA 필터로 초미세먼지 99.97% 제거 | 360도 전방향 에어홀 입체 흡기로 방 안 구석구석 정화 | 취면 모드 시 22dB 초저소음으로 쾌적한 수면 환경 조성,스노우 화이트 / H13 / 매트 딥그레이 / H13
17,전기포트 스텐,전기포트 스텐 올스텐 304 무연마제 미니 무선 무소음 보온 포트,"전기포트스텐, 올스텐전기포트, 304스텐포트, 미니전기포트, 자취생포트, 원룸전기포트, 보온전기포트, 안전분유포트, 무선주전자, 위생스텐포트",연마제 제거 필요 없는 안심 올스텐 304! 컵라면 물을 1분 만에 쾌속 가열!,내부 뚜껑까지 100% 304 프리미엄 스테인리스 적용 | 이중 단열 쿨터치 구조로 겉면이 뜨겁지 않아 데임 사고 방지 | 영국 스트로브(Strix) 컨트롤러 탑재로 내구성과 안전성 확보,실버 올스텐 / 1.5L / 화이트 올스텐 / 1.5L
18,미니 블렌더,미니 블렌더 텀블러 겸용 휴대용 소형 믹서기 분쇄 얼음 신선,"미니블렌더, 휴대용믹서기, 텀블러믹서기, 소형블렌더, 1인용믹서기, 얼음분쇄믹서기, 자취생믹서기, 스무디블렌더, 간편세척믹서기, 건강주스",갈아서 뚜껑만 바꾸면 텀블러로 변신! 바쁜 아침 30초 건강 스무디 완성!,입체 6날 입체 칼날로 얼음과 입자 큰 과일도 부드럽게 분쇄 | 갈아낸 용기 그대로 텀블러 뚜껑만 씌워 출근길 외출 가능 | BPA-Free 젖병 소재(Tritan) 용기로 안전하고 위생적,크림 화이트 / 600ml / 밀키 민트 / 600ml
19,토스터 오븐 미니,토스터 오븐 미니 2단 스팀 피자 식빵 원룸 미니오븐 기계식,"토스터오븐미니, 미니오븐, 스팀토스터, 원룸오븐, 소형토스터기, 자취생오븐, 식빵오븐, 피자미니오븐, 홈베이킹가전, 컴팩트오븐",죽은 빵도 갓 구운 빵처럼 되살리는 스팀 촉촉 미니 토스터 오븐!,스팀 급수 시스템으로 겉은 바삭하고 속은 촉촉한 겉바속촉 구현 | 상하 스텐 열선 독립 제어로 노릇노릇 균일한 상하 가열 | 하단 빵가루 받침대 완전 분리로 청소가 쉽고 깨끗함,레트로 아이보리 / 10L / 레트로 딥그린 / 10L
20,접이식 의자 원룸,접이식 의자 원룸 보관 용이 스툴 패브릭 감성 쿠션 1인용,"접이식의자원룸, 원룸의자, 접이식스툴, 소형의자, 자취생의자, 1인용의자, 공간절약의자, 감성의자, 쿠션접이식의자, 보관용이의자","손님 올 땐 펴고, 평소엔 접어서 틈새 수납! 폭신한 감성 쿠션 의자!",고밀도 스펀지 쿠션 적용으로 오래 앉아있어도 엉통 없는 편안함 | 고강도 강철 프레임으로 최대 120kg까지 안정적인 하중 지지 | 슬림 폴딩으로 장롱 옆이나 침대 밑 3cm 틈새에 쏙 보관,오트밀 베이지 / 패브릭 / 차콜 그레이 / 패브릭
